fullname;surname;name;patronim
Володимир Зеленський;Зеленськ;Володимир;Олександрович
Петро Порошенко;Порошенк;Петр;Олексійович
Ірина Венедіктова;Венедіктов;Ірин;Валентинівн
Арсен Аваков;Аваков;Арсен;Борисович
Ілля Ємець;Єме?ц;Ілл;Миколайович
Максим Степанов;Степанов;Максим;Володимирович
Юлія Тимошенко;Тимошенк;Юлі;Володимирівн
Олексій Гончарук;Гончарук;Олексі;Валерійович
Денис Шмигаль;Шмигал;Денис;Анатолійович
Микола Тищенко;Тищенк;Микол;Миколайович
Олександр Дубінський;Дубінськ;Олександр;Анатолійович
Давид Арахамія;Арахамі;Давид;Георгійович
Віктор Медведчук;Медведчук;Віктор;Володимирович
Міхеіл Саакашвілі;Саакашвілі;Міхеіл;
Святослав Вакарчук;Вакарчук;Святослав;Іванович
Вадим Рабінович;Рабінович;Вадим;Зіновійович
Олексій Гончаренко;Гончаренк;Олексі;Олексійович
Віталій Кличко;Кличк;Віталі;Володимирович
Юрій Бойко;Бойк;Юрі;Анатолійович
Уляна Супрун;Супрун;Улян;
Дмитро Разумков;Разумков;Дмитр;Олександрович
Віктор Ляшко;Ляшк;Віктор;Кирилович
Андрій Єрмак;Єрмак;Андрі;Борисович
Гео Лерос;Лерос;Гео;Багратович
Іван Баканов;Баканов;Іван;Геннадійович
Артем Ситник;Ситник;Артем;Сергійович
Назар Холодницький;Холодницьк;Назар;Іванович
Руслан Рябошапка;Рябошапк;Руслан;Георгійович
Наталія Королевська;Королевськ;Наталі;Юріївн
Нестор Шуфрич;Шуфрич;Нестор;Іванович
Вадим Пристайко;Пристайк;Вадим;Володимирович
Андрій Портнов;Портнов;Андрі;Володимирович
Владислав Криклій;Криклі;Владислав;Артурович
Олександр Ткаченко;Ткаченк;Олександр;Владиславович
Геннадій Кернес;Кернес;Геннаді;Адольфович
Геннадій Труханов;Труханов;Геннаді;Леонідович
Андрій Садовий;Садов;Андрі;Іванович
Євгеній Мураєв;Мураєв;Євген;Володимирович
Борис Філатов;Філатов;Борис;Альбертович
Денис Малюська;Малюсь;Денис;Леонтійович
Анатолій Шарій;Шарі;Анатолі;Анатолійович
