fullname,surname,name,patronim
Володимир Зеленський,зеленськ,володимир,олександрович
Петро Порошенко,порошенк,петр,олексійович
Віктор Янукович,янукович,віктор,федорович
Леонід Кучма,кучм,леонід,данилович
Ірина Венедіктова,венедікт,ірин,валентинівн
Арсен Аваков,авак,арсен,борисович
Ілля Ємець,ємец,ілл,миколайович
Максим Степанов,степан,макс,володимирович
Ігор Уманський,уманськ,ігор,іванович
Сергій Марченко,марченк,серг,михайлович
Михайло Федоров,федор,михайл,альбертович
Юлія Тимошенко,тимошенк,юл,володимирівн
Микола Тищенко,тищенк,микол,миколайович
Олександр Дубінський,дубінськ,олександр,анатолійович
Давид Арахамія,арахам,давид,георгійович
Віктор Медведчук,медведчук,віктор,володимирович
Міхеіл Саакашвілі,саакашвіл,міхеіл,
Святослав Вакарчук,вакарчук,святосл,іванович
Вадим Рабінович,рабінович,вад,зіновійович
Олексій Гончаренко,гончаренк,олекс,олексійович
Віталій Кличко,кличк,вітал,володимирович
Юрій Бойко,бойк,юр,анатолійович
Ігор Коломойський,коломойськ,ігор,валерійович
Рінат Ахметов,ахмет,рінат,леонідович
Уляна Супрун,супрун,улян,
Дмитро Разумков,разумк,дмитр,олександрович
Віктор Ляшко,ляшк,віктор,кирилович
Андрій Єрмак,єрмак,андр,борисович
Гео Лерос,лерос,ге,багратович
Іван Баканов,бакан,іван,геннадійович
Олександр Соколов,сокол,олександр,володимирович
Олександр Бабіков,бабік,олександр,петрович
Артем Ситник,ситник,арт,сергійович
Назар Холодницький,холодницьк,назар,іванович
Руслан Рябошапка,рябошапк,руслан,георгійович
Андрій Богдан,богдан,андр,йосипович
Яків Смолій,смол,як,васильович
Андрій Коболєв,коболєв,андр,володимирович
Вадим Новинський,новинськ,вад,владиславович
Наталія Королевська,королевськ,натал,юріївн
Нестор Шуфрич,шуфрич,нестор,іванович
Максим Нефьодов,нефьод,макс,євгенович
Сергій Верланов,верлан,серг,олексійович
Сергій Трофімов,трофім,серг,володимирович
Вадим Пристайко,пристайк,вад,володимирович
Андрій Портнов,портн,андр,володимирович
Владислав Криклій,крикл,владисл,артурович
Сергій Шефір,шефір,серг,нахманович
Олександр Ткаченко,ткаченк,олександр,владиславович
Олександр Данилюк,данилюк,олександр,олександрович
Руслан Хомчак,хомчак,руслан,борисович
Олексій Данілов,даніл,олекс,мячеславович
Андрій Герус,герус,андр,михайлович
Данило Гетманцев,гетманц,данил,олександрович
Сергій Льовочкін,льовочкін,серг,володимирович
Геннадій Кернес,кернес,геннад,адольфович
Геннадій Труханов,трухан,геннад,леонідович
Андрій Садовий,садов,андр,іванович
Євгеній Мураєв,мураєв,євген,володимирович
Борис Філатов,філат,борис,альбертович
Володимир Гройсман,гройсман,володимир,борисович
Олексій Гончарук,гончарук,олекс,валерійович
Денис Шмигаль,шмигал,денис,анатолійович
Сергій Шахов,шах,серг,володимирович
