fullname;name;surname;patronim
Володимир Зеленський;Володимир|Володимира|Володимирові|Володимиру|Володимиром;Зеленський|Зеленського|Зеленському|Зеленським;Олександрович|Олександровича|Олександровичу|Олександровичем
Петро Порошенко;Петро|Петра|Петру|Петрові|Петром|Петрі;Порошенко|Порошенка|Порошенку|Порошенкові|Порошенком;Олексійович|Олексійовича|Олексійовичу|Олексійовичем
Ірина Венедіктова;Ірина|Ірини|Ірині|Ірину|Іриною|Іринi;Венедіктова|Венедіктови|Венедіктові|Венедіктову|Венедіктовою|Венедіктовi;Валентинівна|Валентинівни|Валентинівні|Валентинівну|Валентинівною
Арсен Аваков;Арсен|Арсена|Арсенові|Арсену|Арсеном;Аваков|Авакова|Авакову|Аваковим|Авакові;Борисович|Борисовича|Борисовичу|Борисовичем
Ілля Ємець;Ілля|Іллі|Іллю|Іллею;Ємець|Ємця|Ємцеві|Ємцю|Ємцем|Ємці;Миколайович|Миколайовича|Миколайовичу|Миколайовичем
Максим Степанов;Максим|Максима|Максимові|Максиму|Максимом;Степанов|Степанова|Степанову|Степановим|Степанові;Володимирович|Володимировича|Володимировичу|Володимировичем
Ігор Уманський;Ігор|Ігоря|Ігорю|Ігореві|Ігорем|Ігорі;Уманський|Уманського|Уманському|Уманським;Іванович|Івановича|Івановичу|Івановичем
Сергій Марченко;Сергій|Сергія|Сергію|Сергієві|Сергієм|Сергії;Марченко|Марченка|Марченку|Марченкові|Марченком;Михайлович|Михайловича|Михайловичу|Михайловичем
Юлія Тимошенко;Юлія|Юлії|Юлію|Юлією;Тимошенко;Володимирівна|Володимирівни|Володимирівні|Володимирівну|Володимирівною
Микола Тищенко;Микола|Миколи|Миколі|Миколу|Миколою|Миколi;Тищенко|Тищенка|Тищенку|Тищенкові|Тищенком;Миколайович|Миколайовича|Миколайовичу|Миколайовичем
Олександр Дубінський;Олександр|Олександра|Олександрові|Олександру|Олександром;Дубінський|Дубінського|Дубінському|Дубінським;Анатолійович|Анатолійовича|Анатолійовичу|Анатолійовичем
Давид Арахамія;Давид|Давида|Давидові|Давиду|Давидом;Арахамія|Арахамії|Арахамію|Арахамією;Георгійович|Георгійовича|Георгійовичу|Георгійовичем
Віктор Медведчук;Віктор|Віктора|Вікторові|Віктору|Віктором;Медведчук|Медведчука|Медведчукові|Медведчуку|Медведчуком;Володимирович|Володимировича|Володимировичу|Володимировичем
